id,lead_actor_1,lead_actor_2,lead_actor_3,lead_actor_4
62883,Salman Khan,Sonali Bendre,Karisma Kapoor,Saif Ali Khan
62934,Elijah Wood,Danny McBride,Seth Rogen,Susan Sarandon
62941,Jim Morrison,Robby Krieger,Ray Manzarek,John Densmore
62977,Donnie Yen,Jiang Wen,Sun Li,Alex Fong
62981,Michel Serrault,Isabelle Adjani,Guy Marchand,Stéphane Audran
62989,Brendan Fehr,Holly Dignard,Jodelle Ferland,Ryan Grantham
63025,Florinda Bolkan,Stanley Baker,Jean Sorel,Silvia Monti
63029,Paolo Villaggio,Zeudi Araya Cristaldi,Anna Nogara,Percy Hogan
63046,Tim Birkett,Mikhail Gorbachev,Hans Blix,Oleg Mirochnikov
63067,Vincenzo Salemme,Eva Herzigová,Carlo Buccirosso,Maurizio Casagrande
63108,William Hurt,Nigel Hawthorne,Miranda Richardson,Irène Jacob
63139,Ray Liotta,50 Cent,Mario Van Peebles,Lynn Whitfield
63144,David Carr,Brian Stelter,Bruce Headlam,Richard Perez-Pena
63174,Jane Birkin,Michel Piccoli,Natasha Parry,Eva Renzi
63188,Rodney Rowland,Kevin Patrick Walls,Karen Black,Ali Landry Monteverde
63193,James Wolk,Treat Williams,Mike Pniewski,Patricia Heaton
63197,Amber Perkins,Rachel Quinn,Dean Waite,Jael Elizabeth Steinmeyer
63207,Clive Owen,Carice van Houten,Ella Purnell,Adrian Rawlins
63274,Adriano Celentano,Eleonora Giorgi,Pippo Santonastaso,Olga Karlatos
63276,Valerio Mastandrea,Marco Giallini,Giorgio Tirabassi,Alessia Fugardi
63287,Jennifer Lawrence,Selma Blair,Bokeem Woodbine,Chloë Grace Moretz
63310,Matthias Schoenaerts,Jeroen Perceval,Jeanne Dandoy,Barbara Sarafian
63311,Antonio Banderas,Elena Anaya,Marisa Paredes,Jan Cornet
63315,Paris Hilton,Joel David Moore,Christine Lakin,Johann Urb
63333,Richard Egan,Constance Dowling,Herbert Marshall,John Wengraf
63339,Paddy Considine,Peter Capaldi,Tom Georgeson,William Beck
63350,Adam Brooks,Matthew Kennedy,Conor Sweeney,Amy Groening
63360,Vera Miles,Daphne Zuniga,Clu Gulager,James Read
63404,Jason Biggs,Seann William Scott,Alyson Hannigan,Eugene Levy
63418,Denis Lavant,Mireille Perrier,Carroll Brooks,Maïté Nahyr
63440,Jason Pai Piao,Tony Liu,Kwan Fung,Chan Shen
63455,Minako Komukai,Yasukaze Motomiya,Shôhei Hino,Mari Komatsuzaki
63481,Jean-Pierre Marielle,Jean Rochefort,Brigitte Fossey,Bernard Blier
63483,Jeremy Sumpter,Lyndsy Fonseca,John Robinson,Kelly Lynch
63484,Tatsuya Fujiwara,Haruka Ayase,Satomi Ishihara,Tsuyoshi Abe
63492,Anna Faris,Chris Evans,Ari Graynor,Blythe Danner
63493,Charlie Hunnam,Liv Tyler,Terrence Howard,Patrick Wilson
63498,Mario Guerra,Limara Meneses,Eman Xor Oña,Jon Adams
63513,x,x,x,x
63517,Michelle Dockery,Eva Sayer,Josef Lindsay,Dan Stevens
63555,Mónica del Carmen,Armando Hernández,José Juan Meraz,Gustavo Sánchez Parra
63574,Queen Latifah,Dolly Parton,Keke Palmer,Jeremy Jordan
63578,Steve Coogan,Rob Brydon,Claire Keelan,Margo Stilley
63579,x,x,x,x
63581,x,x,x,x
63590,Barbi Benton,Charles Lucia,Jon Van Ness,John Warner Williams
63617,Ray Milland,John Wayne,Paulette Goddard,Raymond Massey
63655,x,x,x,x
63686,Matthew Wolf,Rick Gomez,Alistair Abell,Tara Strong
63700,Matthew Knight,Vanessa Morgan,Atticus Mitchell,Cameron Kennedy
63710,Kat Graham,Randy Wayne,Seychelle Gabriel,Audrina Patridge
63727,Doug Bradley,Stephen Billington,Sophie Vavasseur,Richard Felix
63736,Cody Deal,Patricia Velásquez,Richard Grieco,Kevin Nash
63749,Kristy Swanson,Robert Davi,D. B. Sweeney,Wade Boggs
63777,Chuck Norris,Calvin Levels,Christopher Neame,Sheree J. Wilson
63786,Diana Amft,Benno Fürmann,Reiner Schöne,Armin Rohde
63831,Cécile de France,Thomas Doret,Jérémie Renier,Fabrizio Rongione
63849,Denis Moschitto,Fahri Yardım,Arnd Schimkat,Petra Schmidt-Schaller
63892,Jean-Paul Belmondo,Emmanuelle Riva,Irène Tunc,Marc Eyraud
63899,Vyacheslav Tikhonov,Mikhail Dadyko,Irina Shevchuk,Mikhail Zimin
63945,Craig Sheffer,Sheryl Lee,Terence Stamp,Casey Siemaszko
63963,Lee Na-young,Gang Dong-won,Youn Yuh-jung,Eun Won-jae
63971,Paul Fox,Tom Hardy,Kate Maberly,Aitor Merino
63973,Angus Young,Malcolm Young,Brian Johnson,Cliff Williams
64084,Shannon Tweed,Andrew Stevens,Kim Morgan Greene,Daniel McVicar
64108,Ed Lauter,Louis Mandylor,Tiffany Shepis,Kristina Wayborn
64124,Carole Brana,Lise Bellynck,Jocelyn Quivrin,Arnaud Binard
64131,Juliette Binoche,Denis Lavant,Michel Piccoli,Hans Meyer
64191,Danielle Panabaker,Jane Krakowski,Clare Stone,Tyler Hynes
64192,Vanessa Redgrave,Angelina Jolie,Michael Moore,Joely Richardson
64202,Will Friedle,Kevin Conroy,Michael Ansara,Linda Hamilton
64205,Chatchapol Kulsiriwuthichai,Sarawoot Kumsorn,Puchong Sartnok,Supakson Chaimongkol
64246,Kazato Tomizawa,Akina Minami,Aoi Miyazaki,Jingi Irie
64252,Klaus Kinski,Isabelle Illiers,Arielle Dombasle,Shinnosuke Ikehata
64288,Lee Fulkerson,Matthew Lederman,Alona Pulde,T. Colin Campbell
64320,Jay Baruchel,Scott Speedman,Emily Hampshire,Gary Farmer
64325,Brian Austin Green,Danny Trejo,Michael Clarke Duncan,Tom Sizemore
64328,Jason Segel,Amy Adams,Chris Cooper,Rashida Jones
64345,Brigitte Bardot,Claudia Cardinale,Michael J. Pollard,Micheline Presle
64349,Patrick Dewaere,Bernard Blier,Marie Trintignant,Myriam Boyer
64353,Peter Jones,Simon Jones,David Dixon,Sandra Dickinson
64433,Ferhan Şensoy,Rasim Öztekin,Ali Çatalbaş,Erol Günaydın
64481,Éric Caravaca,Denis Podalydès,Grégori Derangère,Sabine Azéma
64483,Igor Petrenko,Elena Babenko,Bogdan Stupka,Andrei Panin
64526,Alberto Tomba,Michelle Hunziker,Orso Maria Guerrini,Corinne Cléry
64528,Barbara Bouchet,Farley Granger,Rosalba Neri,Dino Mele
64544,Emmanuelle Chaulet,Sophie Renoir,François-Eric Gendron,Éric Viellard
64566,Tim Robbins,Diane Lane,James Gandolfini,Kathleen Quinlan
64567,Michel Blanc,Carole Bouquet,Philippe Noiret,Josiane Balasko
64568,Susan Strasberg,Ronald Lewis,Ann Todd,Christopher Lee
64586,Emily Browning,Rachael Blake,Ewen Leslie,Mirrah Foulkes
64622,Devon Bostick,Bjanka Murgel,Cristina Rosato,Simonetta Solder
64624,Lilli Palmer,Cristina Galbó,John Moulder-Brown,Maribel Martín
64635,Colin Farrell,Kate Beckinsale,Jessica Biel,Bryan Cranston
64639,James Marsden,Kate Bosworth,Alexander Skarsgård,Dominic Purcell
64678,Freddie Highmore,Emma Roberts,Michael Angarano,Elizabeth Reaser
64682,Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,Joel Edgerton
64685,Thomas Horn,Tom Hanks,Sandra Bullock,Max von Sydow
64686,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Tadanobu Asano
64687,Kavan Smith,Colby Johannson,Nicole de Boer,Merritt Patterson
64688,Jonah Hill,Channing Tatum,Brie Larson,Dave Franco
64689,Brad Pitt,Scoot McNairy,Ben Mendelsohn,James Gandolfini
64690,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks
64694,Eugenio Derbez,Alejandra Barros,Juan Ramírez,Martina García
64711,x,x,x,x
64720,Michael Shannon,Jessica Chastain,Katy Mixon,Shea Whigham
64789,Nobuyo Oyama,Noriko Ohara,Michiko Nomura,Kaneta Kimotsuki
64792,Kim Hye-soo,Kim Sung-su,Park Yeon-ah,Koh Soo-hee
64807,Robert De Niro,Sylvester Stallone,Alan Arkin,Jon Bernthal
64809,Mayuko Fukuda,Nako Mizusawa,Ei Morisako,Manami Honjo
64831,Richard M. Sherman,Robert B. Sherman,Julie Andrews,Roy Edward Disney
64847,Aiko Nagayama,Tatsuya Nakadai,Takao Ito,Masaya Takahashi
64853,Leisha Hailey,Gale Harold,Jami Bassman ,Stephanie Brown
64854,Orlando Jones,Edmund Entin,Gary Entin,Samantha Droke
64882,Im Soo-jung,Gong Yoo,Cheon Ho-jin,Jeon Soo-kyung
64883,Mark Frost,Isabel Brook,Jennifer Rope,Jeffrey Combs
64912,Bunta Sugawara,Jō Shishido,Nobuo Yana,Nobuo Kaneko
64931,Kim Myung-min,Oh Dal-su,Han Ji-min,Lee Jae-yong
64956,x,x,x,x
65012,Natalie Wood,Robert Redford,Charles Bronson,Kate Reid
65034,William Hurt,Paul Giamatti,James Woods,Billy Crudup
65055,Sara Paxton,Dustin Milligan,Chris Carmack,Joel David Moore
65056,Jenna Fischer,Chris O'Donnell,Kim Coates,Lesley Ann Warren
65057,George Clooney,Shailene Woodley,Amara Miller,Nick Krause
65058,Conan O'Brien,Andy Richter,Jimmy Vivino,Scott Healy
65086,Daniel Radcliffe,Ciarán Hinds,Janet McTeer,Liz White
65091,N-Xau,Lau Ching-wan,Cecilia Yip,Conrad Janis
65092,Ingrid Thulin,Anders Ek,Gunnar Björnstrand,Erik Hell
65137,Patrick Swayze,Halle Berry,Sabrina Lloyd,Brian Bonsall
65203,Charles King,Anita Page,Bessie Love,Betty Arthur
65215,Seth MacFarlane,Alex Borstein,Seth Green,Mila Kunis
65218,Bridgit Mendler,Adam Hicks,Hayley Kiyoko,Naomi Scott
65229,Zoé Héran,Malonn Lévana,Jeanne Disson,Sophie Cattani
65255,Dr. Rudy Hatfield,Kelli Jensen,Karen Turner,Dave Cunningham
65256,Cariba Heine,Phoebe Tonkin,Claire Holt,Angus McLaren
65291,Nathan Fillion,Jason Isaacs,Elisabeth Moss,Kelly Hu
65294,Bill Bixby,Lou Ferrigno,Susan Sullivan,Jack Colvin
65317,Mimsy Farmer,Maurizio Bonuglia,Mario Scaccia,Jho Jhenkins
65332,Giancarlo Giannini,Mariangela Melato,Lina Polito,Eros Pagni
65345,Jacob Newton,Derek Efrain Villanueva,Dylan Vox,Kevin Held
65364,Angie Everhart,Richard Grieco,Elizabeth Barondes,Kevin Fry
65374,Mathew Karedas,Mark Frazer,Cranston Komuro,Robert Z'Dar
65488,Elizabeth Taylor,Montgomery Clift,Eva Marie Saint,Nigel Patrick
65496,Déborah François,Mathieu Demy,Alain Cauchi,Benjamin Siksou
65497,Chad McQueen,Cynthia Rothrock,David Carradine,Andy McCutcheon
65515,Matthew Reese,K. Danor Gerald,Jennifer Klekas,Sarah Bell
65550,Anna Magnani,Burt Lancaster,Ben Cooper,Marisa Pavan
65584,Justin Hartley,Denise Quiñones,Ving Rhames,Adrianne Palicki
65587,Errol Flynn,Fred MacMurray,Ralph Bellamy,Alexis Smith
65591,Mikhail Metyolkin,Vasili Vasilyev,Viktor Kosykh,Valentina Kurdyukova
65592,Yves Barsacq,Philippe Cheytion,Arlette Mirapeu,François Voisin
65599,Pollyanna McIntosh,Sean Bridgers,Angela Bettis,Lauren Ashley Carter
65632,Marcello Mastroianni,Ursula Andress,Elsa Martinelli,Salvo Randone
65647,Kad Merad,Michèle Laroque,Gaspard Meier-Chaurand,Vincent Perez
65650,Orlando Bloom,Riley Keough,Taraji P. Henson,Rob Morrow
65695,x,x,x,x
65724,Ben Crowley,Ken Leung,Anthony Mackie,Darris Love
65754,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård
65759,Elijah Wood,Robin Williams,Pink,Elizabeth Daily
65760,Rachel Weisz,Vanessa Redgrave,Monica Bellucci,David Strathairn
65762,Mandy Moore,Martin Freeman,Melissa George,Jonathan Silverman
65796,Jeff Bridges,Ellen Barkin,John Hurt,Diane Lane
65823,Casper Van Dien,Tony Plana,Kevin Grevioux,Jennifer O'Dell
65825,Mark Calaway,Glenn Jacobs,Randy Orton,Stephen Farrelly
65851,Johnny Knoxville,Ryan Dunn,Dave England,Preston Lacy
65869,Matthew Settle,Tom Everett Scott,Gretchen Mol,Samantha Mathis
65871,Ruth King,Kris Tearse,Barry Thomas,Christopher J. Herbert
65881,Jung Jin-young,Lee Moon-sik,Ryu Seung-ryong,Hwang Jung-min
65891,Sandra Dee,Dean Stockwell,Ed Begley,Lloyd Bochner
65892,Sara Rue,Barry Watson,Valerie Harper,Jordan Wall
65931,Rosario Sánchez Almada,Cecilia Gispert,Enrique Conlazo,Pelusa Suero
65945,Tamzin Merchant,Danielle Nicolet,Brian J. Smith,Kate Vernon
65946,Salman Khan,Asin Thottumkal,Paresh Rawal,Sharat Saxena
65994,James Mason,Janet Leigh,Robert Wagner,Debra Paget
66015,Brigitte Lin,Gong Li,Sharla Cheung,Frankie Lam
66027,Alan Bates,Oliver Reed,Glenda Jackson,Jennie Linden
66046,Douglas Booth,Mathew Horne,Francis Magee,Richard Madden
66105,Toru Furuya,Hirotaka Suzuoki,Hideyuki Hori,Ryou Horikawa
66106,George Hamilton,Brooke Nevin,Donna Mills,Adrienne Carter
66113,Guy Pearce,Sam Neill,Miranda Otto,Ruth Bradley
66118,Thomas Ngijol,Fabrice Eboué,Joséphine de Meaux,Etienne Chicot
66120,Vincent Cassel,Déborah François,Joséphine Japy,Sergi López
66121,Billy Warlock,Kurt Max Runte,Catherine Lough Haggquist,Peter Graham-Gaudreau
66122,Jean-Paul Rouve,Judith Godrèche,Gérard Darmon,Etienne Chicot
66125,Josh Lucas,Rachael Taylor,Rohan Nichol,Luke Ford
66129,Jean-Paul Rouve,Isabelle Nanty,Claire Nadeau,Théo Fernandez
66150,Cindy Baer,Moica,Caryn Waechter,Drake Shannon
66164,Luke de Lacey,Holly Lucas,Siubhan Harrison,James Oliver Wheatley
66177,Totò,Mike Bongiorno,Valeria Moriconi,Carlo Croccolo
66193,Johnny Strong,Kevin Phillips,Costas Mandylor,Sean Patrick Flanery
66195,David Hyde Pierce,Clayne Crawford,Nathaniel Parker,Megahn Perry
66540,Fernandel,Samia Gamal,Dieter Borsche,Henri Vilbert
66581,Geoff Tate,Chris DeGarmo,Michael Wilton,Eddie Jackson
66587,Kathleen Barr,Lisa Ann Beley,Dexter Bell,Michael Donovan
66607,Joaquín Cosío,Gerardo Taracena,Jaime Camil,Miguel Rodarte
66608,Lindsay Hollister,Willam Belli,Uwe Boll,Brendan Fletcher
66657,Stephen Chow,Anita Mui,Sharla Cheung,Natalis Chan
66664,Christopher Ahrens,Haven Tyler,Mark Steinborn,Fausto Lombardi
66700,Vincenzo Salemme,Maurizio Casagrande,Biagio Izzo,Lidia Vitale
66767,Tyrone Marshall Brown,Mishael Morgan,Nikki Grant,Chase Armitage
66768,Silvia Navarro,Alan Estrada,Octavio Ocaña,shakti Urrutia
66795,Kelly Pendygraft,Lochlyn Munro,Alice Amter,Terry Becker
66830,Brandon Routh,Kevin Smith,Seth Rogen,Elizabeth Banks
66834,x,x,x,x
66850,x,x,x,x
66892,Jason Scott Lee,Louise Lombard,Sean Pertwee,Lysette Anthony
66923,Theo Stevenson,Anjelica Huston,Parminder Nagra,Richard E. Grant
66925,Ben Sheppard,Jamison Challeen,Maren McGuire,Ileana Herrin
66942,Ryan Kwanten,Maeve Dermody,Marshall Napier,Heather Mitchell
66945,Claire Forlani,Dougray Scott,Gordon Ramsay,Michelle Ryan
66984,x,x,x,x
66997,x,x,x,x
67009,Walt Disney,Thelma Boardman,Clarence Nash,Pinto Colvig
67043,x,x,x,x
67087,John Vernon,Samantha Eggar,Linda Thorson,Anne Ditchburn
67109,Imran Khan,Kunaal Roy Kapur,Vir Das,Shenaz Treasury
67115,x,x,x,x
67120,Julie Lee,Shu-Kei Wong,Yvonne Yung Hung,Stuart Ong
67132,x,x,x,x
67152,Pinto Colvig,Walt Disney,Marcellite Garner,Clarence Nash
67162,Walt Disney,Pinto Colvig,Billy Bletcher,Clarence Nash
67167,Pinto Colvig,Allan Watson,Delos Jewkes,Walt Disney
67195,Corey Taylor,Sid Wilson,Chris Fehn,Mick Thomson
67198,Kris Kristofferson,Val Kilmer,Hilary Duff,Reece Thompson
67203,Erbi Ago,Velizar Binev,Lucy Brown,Dean Cain
67221,Daniel Greene,Janet Ågren,Claudio Cassinelli,George Eastman
67273,x,x,x,x
67308,Saori Hara,Yukiko Suo,Tony Ho,Vonnie Lui
67342,Lam Ching-Ying,Ricky Hui,Chin Siu-Ho,Moon Lee Choi-Fung
67343,Lam Ching-Ying,Yuen Biao,Moon Lee Choi-Fung,Paul Chung Fat
67344,Lam Ching-Ying,Richard Ng,Billy Lau,Pauline Wong Yuk-Wan
67395,Julie Strain,Rodrigo Obregón,Julie K. Smith,Shae Marks
67396,Shae Marks,Julie Strain,Julie K. Smith,Cristian Letelier
67409,x,x,x,x
67445,Martin Short,Jan Hooks,Linda Cardellini,Elizabeth Perkins
67572,x,x,x,x
67592,x,x,x,x
67600,x,x,x,x
67612,Geraldo del Rey,Yoná Magalhães,Othon Bastos,Sonia dos Humildes
67655,Alexis Texas,Janice Marie,Adam Danoff,Robert Heath
67659,Anthony Quinn,Charles Bronson,Jaime Fernández,Leon Askin
67660,Michael Ealy,Jerry Ferrara,Meagan Good,Regina Hall
67661,Walt Disney,Billy Bletcher,Pinto Colvig,James MacDonald
67675,Lea Michele,Cory Monteith,Darren Criss,Kevin McHale
67699,x,x,x,x
67703,x,x,x,x
67713,Jack Mercer,Gus Wickie,Mae Questel,Lou Fleischer
67737,Bernice Stegers,Stanko Molnar,Veronica Zinny,Roberto Posse
67740,Jimmy McNichol,Susan Tyrrell,Bo Svenson,Julia Duffy
67748,Lucas Pittaway,Daniel Henshall,Louise Harris,Frank Cwertniak
67790,x,x,x,x
67884,Ricardo Darín,Muriel Santa Ana,Javier Pinto,Ignacio Huang
67885,x,x,x,x
67900,Frank Welker,Mindy Cohn,Grey DeLisle,Matthew Lillard
67911,Nick Swardson,Christina Ricci,Stephen Dorff,Don Johnson
67913,Brendan Gleeson,Don Cheadle,Liam Cunningham,Mark Strong
67949,Brittany Andrews,Julia Ann,Asia Carrera,Nina Hartley
67997,x,x,x,x
68004,Maggie Cheung,Tony Leung Ka-fai,Carina Lau,Chin Han
68023,Fabrice Luchini,Sandrine Kiberlain,Manuel Blanc,Claire Nebout
68027,Joey Lawrence,Matthew Lawrence,Andrew Lawrence,Stephen Collins
68051,x,x,x,x
68053,Gian Maria Volonté,Fabio Garriba,Carla Tatò,Jacques Herlin
68063,Nicolas Vaporidis,Massimiliano Bruno,Valentina Izumi,Maurizio Mattioli
68116,Tara Reid,Akemnji Ndifornyen,Alice O'Connell,Russell Carter
68120,Shannon Tweed,Amy Lindsay,Myles O'Brien,Kirstin Pierce
68146,Ivan Rassimov,Me Me Lai,Prasitsak Singhara,Sulallewan Suxantat
68174,Elisabeth Shue,Sarah Roemer,Imogen Poots,Taryn Manning
68178,Sami Bouajila,Maurice Bénichou,Denis Podalydès,Salomé Stévenin
68179,Brendan Fraser,Jessica Alba,Rob Corddry,Steve Zahn
68193,Megan Park,David Charvet,Boti Bliss,Keeva Lynk
68200,Joan Claybrook,Oliver Diaz,Joanne Doroshow,Al Franken
68202,Eva Longoria,Christian Slater,Oscar Nunez,Kate del Castillo
68212,C. Thomas Howell,Judd Nelson,Jason London,Serah D'Laine
68252,Gang Dong-won,Go Soo,Enes Kaya,Abu Dodd
68263,Satoshi Hino,Ayako Kawasumi,Junichi Suwabe,Mitsuo Iwata
68275,Adriano Celentano,Federica Moro,Gianni Bonagura,Giacomo Rosselli
68280,Clovis Cornillac,Mélanie Laurent,Tchéky Karyo,Xavier Gallais
68297,John Hurt,Shuntaro Hida,Robert Austin,George Anton
68335,Keller Wortham,Shari Solanis,Luis Fernandez-Gil,Adrian Quinonez
68341,Mitsuru Fukikoshi,Denden,Asuka Kurosawa,Megumi Kagurazaka
68363,x,x,x,x
68416,Fabian Carrillo,Gary Busey,Lorenzo Lamas,Robert LaSardo
68428,Loletta Lee,Leung Si-Ho,David Siu,Elvis Tsui
68446,Xander Berkeley,Amy Jo Johnson,Reiko Aylesworth,David O'Donnell
68449,Kappei Yamaguchi,Kaneto Shiozawa,Kazumi Tanaka,Koji Totani
68450,Travis Rice,Nicolas Muller,Mark Landvik,Jake Blauvelt
68472,Dave Bautista,Amy Smart,Dominic Purcell,Danny Trejo
68479,Don Wilson,Maria Ford,Vince Murdocco,Dale Jacoby
68507,Suwinit Panjamawat,Santisuk Promsiri,Christy Chung,Eakarat Sarsukh
68555,Mamoru Miyano,Kappei Yamaguchi,Shido Nakamura,Noriko Hidaka
68557,Goki Maeda,Airi Matsuyama,Rin Asuka,Aika
68569,Tim Roth,Jouko Ahola,Udo Kier,Anna Gourari
68572,Timothy Dalton,Henry Czerny,Jonathan Malen,Michael Rhoades
68590,Brandon Lee,Michael Wong Man-Tak,Michael Chan,Regina Kent
68591,Christina Milian,Josh Cooke,Erin Karpluk,Lorraine Bracco
68626,Jesús Franco,Lina Romay,Paul Müller,Martine Stedil
68627,Marga López,Maricruz Olivier,Alicia Bonet,Norma Lazareno
68629,Karl Geary,Shalom Harlow,Clarence Williams III,Ally Sheedy
68635,Karine Gambier,Howard Vernon,Susan Hemingway,Aida Gouveia
68637,Élie Semoun,Joséphine de Meaux,Vincent Claude,Juliette Chappey
68663,Kathy Bates,Julie Delpy,Andrea Di Stefano,Anna Faris
68684,Shanley Caswell,Josh Hutcherson,Spencer Locke,Dane Cook
68712,Danny Trejo,Gary Daniels,Krystal Vee,Tom 'Tiny' Lister Jr.
68716,Donald Faison,Eddie Kaye Thomas,Eddie Guerra,Abraham Benrubi
68718,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington
68721,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Guy Pearce
68722,Joaquin Phoenix,Philip Seymour Hoffman,Amy Adams,Laura Dern
68724,Matt Damon,Jodie Foster,Sharlto Copley,Diego Luna
68726,Charlie Hunnam,Rinko Kikuchi,Idris Elba,Max Martini
68727,James McAvoy,Vincent Cassel,Rosario Dawson,Danny Sapani
68728,James Franco,Mila Kunis,Rachel Weisz,Michelle Williams
68730,Andrew Garfield,Adam Driver,Liam Neeson,Yosuke Kubozuka
68734,Ben Affleck,Bryan Cranston,Alan Arkin,John Goodman
68735,Travis Fimmel,Paula Patton,Ben Foster,Dominic Cooper
68737,Jeff Bridges,Julianne Moore,Ben Barnes,Alicia Vikander
68773,Tim Thomerson,Jackie Earle Haley,Kamala Lopez,Humberto Ortiz
68797,Jerzy Bińczycki,Anna Dymna,Tomasz Stockinger,Bernard Ładysz
68810,Chin Tu,Wong Chung-Yue,Jeannie Hsieh,Chen Chi-Chiang
68812,Michael Shannon,Winona Ryder,Ray Liotta,Chris Evans
68816,Alberto Sordi,Bernard Blier,Nino Manfredi,Giuliana Lojodice
68817,Dennis Quaid,Kenny Wormald,Julianne Hough,Andie MacDowell
68818,Sam Shepard,Eduardo Noriega,Stephen Rea,Magaly Solier
68822,Simone Signoret,Serge Reggiani,Claude Dauphin,Raymond Bussières
68878,Philip Brodie,Alix Wilton Regan,Rob Oldfield,Vicky Araico
68895,Loren Avedon,Richard Jaeckel,Don Stroud,Billy Blanks
68919,x,x,x,x
68924,Kevin Kline,Joan Allen,Sigourney Weaver,Henry Czerny
68941,Angélica Aragón,Magi Avila,Jaime Camil,Khristian Clausen
68942,Sammo Hung,Yuen Biao,Joyce Godenzi,Lam Ching-Ying
68995,Casper Van Dien,Patrick Muldoon,William Forsythe,Theresa Russell
68996,Jet Li,Jackie Chan,Jean-Claude Van Damme,Michelle Yeoh
69013,Junko Miyashita,Eimei Esumi,Genshû Hanayagi,Yoshie Kitta
69014,Ben Gazzara,Ornella Muti,Susan Tyrrell,Tanya Lopert
69044,Michel Blanc,Bernard Giraudeau,Anémone,Marie-Anne Chazel
69057,Cantinflas,María Elena Marqués,Ángel Garasa,Andrés Soler
69060,Cantinflas,Joaquín Pardavé,Sara García,Sofía Álvarez
69161,Eddy Ko,Lam Ching-Ying,Ma Ying-Chun,Philippe Loffredo
69217,Randy Quaid,Shane Johnson,Josh Hammond,Jason Dohring
69225,Eric Cantona,Karine Vanasse,Mehdi Nebbou,Aurélien Recoing
69270,Shannon Beckner,Oded Fehr,Ryan Kennedy,Adrien Dorval
69315,Michelle Forbes,Stephanie Jacobsen,Graham Beckel,Jamie Bamber
69335,João Miguel,Fabiula Nascimento,Babu Santana,Carlo Briani
69342,Judd Nelson,Bill Paxton,Rob Lowe,Wayne Newton
69380,Damián Alcázar,Cecilia Suárez,Pedro Armendáriz Jr.,Jesús Ochoa
69403,Nadia Cassini,Lino Banfi,Paolo Giusti,Karin Schubert
69480,Joyce McKinney,Peter Tory,Troy Williams,Jackson Shaw
69517,Alain Delon,Stéphane Audran,Jean Bouise,Michel Aumont
69526,Oliver Reed,Diana Rigg,Telly Savalas,Curd Jürgens
69578,Giovanna Ralli,Claudio Cassinelli,Mario Adorf,Franco Fabrizi
69605,Rock Hudson,Lauren Bacall,Robert Stack,Dorothy Malone
69636,Suriya,Asin Thottumkal,Nayanthara,Pradeep Ram Singh Rawat
69668,Daniel Craig,Naomi Watts,Rachel Weisz,Marton Csokas
69733,Loredana Cannata,Arturo Paglia,Loredana Solfizi,Pascal Persiano
69735,Ben McKenzie,Bryan Cranston,Eliza Dushku,Jon Polito
69775,Emraan Hashmi,Prashant Narayanan,Jacqueline Fernandez,Sulagna Panigrahi
69778,Jason Sudeikis,Leslie Bibb,Lindsay Sloane,Lake Bell
69787,Sean Bean,Brian Cox,Daragh O'Malley,Assumpta Serna
69798,Simon Bird,James Buckley,Blake Harrison,Joe Thomas
69922,Willem Dafoe,Giada Colagrande,Seymour Cassel,Spenser Carrion Leigh
69938,Bruno Mazzeo,Fernanda Paes Leme,Carol Castro,Fabiula Nascimento
69945,Keri Russell,Stephen Collins,Phylicia Rashād,Tobin Bell
70000,Saori Hara,Asami,Yûya Ishikawa,Demo Tanaka
70006,Michael Jai White,Gralen Bryant Banks,Alex Meraz,Stacey Asaro
70008,Steve Austin,Michael Jai White,Michael Shanks,Lexa Doig
70009,Ray Liotta,Christian Slater,Ving Rhames,Gisele Fraga
70024,Thomas Arana,David Chokachi,Michael Jace,Pollyanna McIntosh
70027,Lou Adler,Herb Alpert,Hal Blaine,Glen Campbell
70057,Donnie Yen,Takeshi Kaneshiro,Tang Wei,Jimmy Wang Yu
70059,Levi Fiehler,Alicia Ziegler,Josh Kelly,Max Adler
70074,Sylvester Stallone,Sung Kang,Sarah Shahi,Christian Slater
70076,Poppy Montgomery,Adam Kaufman,Michelle Harrison,Chelah Horsdal
70084,Debbie Thureson,Steve Bond,Lori Lethin,Robert Wald
70110,Casper Van Dien,Nicole Eggert,Patrick Muldoon,Ted Monte
70115,Roger Corman,Colleen Camp,John Landis,Sid Haig
70121,Daryl Hannah,Doug Savant,Brandy Ledford,Peter Flemming
70136,Johnny Weissmüller,Brenda Joyce,Linda Christian,George Zucco
70160,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson
70196,Toby Kebbell,Adi Bielski,Brian Cox,Tony Curran
70199,Mary Steenburgen,Roddy McDowall,Jan Rubeš,William Russ
70214,Anna Maxwell Martin,Claire Foy,Jodie Whittaker,Anna Wilson-Jones
70298,x,x,x,x
70322,Eiko Yanami,Reiko Kasahara,Mikiko Tsubouchi,Kōji Fujiyama
70338,Drake Bell,Daniella Monet,Jason Alexander,Cheryl Hines
