id,lead_actor_1,lead_actor_2,lead_actor_3,lead_actor_4
200,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
201,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
203,Robert De Niro,Harvey Keitel,David Proval,Amy Robinson
204,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli
205,Don Cheadle,Sophie Okonedo,Nick Nolte,Fana Mokoena
206,Kiefer Sutherland,Alun Armstrong,Nastassja Kinski,Thomas Heinze
207,Robin Williams,Ethan Hawke,Robert Sean Leonard,Gale Hansen
212,Cary Grant,Priscilla Lane,Raymond Massey,Jack Carson
213,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis
214,Tobin Bell,Shawnee Smith,Angus Macfadyen,Bahar Soomekh
215,Tobin Bell,Donnie Wahlberg,Shawnee Smith,Erik Knudsen
216,Brigitte Mira,El Hedi ben Salem,Irm Hermann,Barbara Valentin
217,Harrison Ford,Cate Blanchett,Karen Allen,Shia LaBeouf
218,Linda Hamilton,Michael Biehn,Arnold Schwarzenegger,Paul Winfield
219,Penélope Cruz,Carmen Maura,Lola Dueñas,Blanca Portillo
220,James Dean,Julie Harris,Raymond Massey,Richard Davalos
221,James Dean,Natalie Wood,Sal Mineo,Jim Backus
222,x,x,x,x
223,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson
226,Hilary Swank,Chloë Sevigny,Peter Sarsgaard,Brendan Sexton III
227,C. Thomas Howell,Matt Dillon,Ralph Macchio,Patrick Swayze
228,Emil Jannings,Marlene Dietrich,Kurt Gerron,Rosa Valetti
229,Boris Karloff,Colin Clive,Valerie Hobson,Ernest Thesiger
231,George Clooney,Matt Damon,Jeffrey Wright,Chris Cooper
232,Matt Dillon,Mickey Rourke,Diane Lane,Dennis Hopper
233,Ken Wahl,John Friedrich,Karen Allen,Toni Kalem
234,Werner Krauß,Conrad Veidt,Friedrich Fehér,Lil Dagover
235,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell
236,Toni Collette,Bill Hunter,Rachel Griffiths,Sophie Lee
237,Ewan McGregor,Tilda Swinton,Peter Mullan,Emily Mortimer
238,Marlon Brando,Al Pacino,James Caan,Robert Duvall
239,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft
240,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton
241,Woody Harrelson,Juliette Lewis,Robert Downey Jr.,Tommy Lee Jones
242,Al Pacino,Diane Keaton,Talia Shire,Andy García
243,John Cusack,Iben Hjejle,Todd Louiso,Jack Black
244,Robert Armstrong,Fay Wray,Bruce Cabot,Frank Reicher
245,Hugh Grant,Nicholas Hoult,Toni Collette,Rachel Weisz
246,Takeshi Kitano,Tadanobu Asano,Michiyo Ookusu,Yûko Daike
247,Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen
248,Glenn Ford,Bette Davis,Hope Lange,Arthur O'Connell
249,Kathleen Turner,Michael Douglas,Danny DeVito,Marianne Sägebrecht
250,Dejan Čukić,Kim Bodnia,Brian Patterson,Nikolaj Lie Kaas
251,Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn
252,Gene Wilder,Peter Ostrum,Jack Albertson,Roy Kinnear
253,Roger Moore,Yaphet Kotto,Jane Seymour,Clifton James
254,Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann
255,Jean-Pierre Léaud,Claude Jade,Delphine Seyrig,Michael Lonsdale
256,Jean-Pierre Léaud,Marie-France Pisier,Rosy Varte,François Darbon
257,Barney Clark,Ben Kingsley,Jamie Foreman,Harry Eden
258,Jean-Pierre Léaud,Claude Jade,Daniel Ceccaldi,Claire Duhamel
259,Jean-Pierre Léaud,Marie-France Pisier,Claude Jade,Dani
260,Robert Donat,Madeleine Carroll,Lucie Mannheim,Godfrey Tearle
261,Elizabeth Taylor,Paul Newman,Burl Ives,Judith Anderson
262,Robert De Niro,Jerry Lewis,Sandra Bernhard,Diahnne Abbott
266,Brigitte Bardot,Michel Piccoli,Jack Palance,Giorgia Moll
267,Liberto Rabal,Francesca Neri,Javier Bardem,Penélope Cruz
268,Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl
269,Jean-Paul Belmondo,Jean Seberg,Daniel Boulanger,Jean-Pierre Melville
271,Hanna Zetterberg,Dan Håfström,Börje Ahlstedt,Lena Nyman
272,Christian Bale,Michael Caine,Liam Neeson,Katie Holmes
274,Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine
275,Frances McDormand,William H. Macy,Steve Buscemi,Bruce Bohne
276,Daniel Brühl,Julia Jentsch,Stipe Erceg,Burghart Klaußner
277,Kate Beckinsale,Scott Speedman,Michael Sheen,Shane Brolly
278,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler
279,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice
280,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick
281,Ralph Fiennes,Angela Bassett,Tom Sizemore,Juliette Lewis
284,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston
285,Johnny Depp,Orlando Bloom,Keira Knightley,Geoffrey Rush
287,Kevin Costner,Susan Sarandon,Tim Robbins,Trey Wilson
288,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges
289,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains
290,John Turturro,John Goodman,Judy Davis,Michael Lerner
291,Jeff Clark,Darrick Doerner,Laird Hamilton,Dave Kalama
292,Dave Chappelle,Erykah Badu,Common,Yasiin Bey
293,Craig Sheffer,Brad Pitt,Tom Skerritt,Brenda Blethyn
294,Helen Shaver,Patricia Charbonneau,Audra Lindley,Andra Akers
296,Arnold Schwarzenegger,Nick Stahl,Claire Danes,Kristanna Loken
297,Brad Pitt,Anthony Hopkins,Claire Forlani,Jake Weber
298,George Clooney,Brad Pitt,Matt Damon,Al Pacino
299,Frank Sinatra,Dean Martin,Sammy Davis Jr.,Peter Lawford
300,Gael García Bernal,Charlotte Gainsbourg,Miou-Miou,Alain Chabat
301,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson
302,Charlotte Rampling,Ludivine Sagnier,Charles Dance,Jean-Marie Lamour
303,Ingrid Bergman,Cary Grant,Claude Rains,Leopoldine Konstantin
306,Eddie Murphy,Judge Reinhold,Héctor Elizondo,Gilbert R. Hill
307,Aldo Fabrizi,Anna Magnani,Marcello Pagliero,Francesco Grandjacquet
308,Bill Murray,Julie Delpy,Sharon Stone,Tilda Swinton
309,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Paprika Steen
310,Jim Carrey,Morgan Freeman,Jennifer Aniston,Philip Baker Hall
311,Robert De Niro,James Woods,Elizabeth McGovern,Joe Pesci
313,Alan Rickman,Sigourney Weaver,Carrie-Anne Moss,Emily Hampshire
314,Halle Berry,Benjamin Bratt,Sharon Stone,Lambert Wilson
315,Tura Satana,Haji,Lori Williams,Sue Bernard
318,Mel Gibson,Milla Jovovich,Jeremy Davies,Amanda Plummer
319,Christian Slater,Patricia Arquette,Michael Rapaport,Bronson Pinchot
320,Al Pacino,Robin Williams,Hilary Swank,Maura Tierney
321,Luke Kirby,Ginette Reno,Paul Sorvino,Mary Walsh
322,Sean Penn,Tim Robbins,Kevin Bacon,Laurence Fishburne
326,Samuel L. Jackson,Julianna Margulies,Nathan Phillips,Kenan Thompson
327,Takeshi Kitano,Omar Epps,Claude Maki,Susumu Terajima
329,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough
332,Matthew Broderick,Rupert Everett,Joely Fisher,Michelle Trachtenberg
334,Jeremy Blackman,Tom Cruise,Philip Baker Hall,Philip Seymour Hoffman
335,Claudia Cardinale,Henry Fonda,Jason Robards,Charles Bronson
336,Rod Steiger,James Coburn,Romolo Valli,Maria Monti
337,Omar Sharif,Pierre Boulanger,Gilbert Melki,Isabelle Renauld
338,Daniel Brühl,Katrin Sass,Chulpan Khamatova,Maria Simon
339,Winona Ryder,Gena Rowlands,Giancarlo Esposito,Armin Mueller-Stahl
340,Elijah Wood,Eugene Hutz,Boris Leskin,Jana Hrabětova
342,Robert Stadlober,Kostja Ullmann,Alicja Bachleda-Curuś,Jürgen Tonkel
343,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack
344,Alexandra Neldel,Diether Krebs,Ralf Richter,Til Schweiger
345,Tom Cruise,Nicole Kidman,Sydney Pollack,Madison Eginton
346,Toshirō Mifune,Takashi Shimura,Yoshio Inaba,Seiji Miyaguchi
348,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright
350,Anne Hathaway,Meryl Streep,Emily Blunt,Stanley Tucci
363,Birol Ünel,Sibel Kekilli,Catrin Striebeck,Güven Kıraç
364,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken
377,Heather Langenkamp,Robert Englund,John Saxon,Ronee Blakley
378,Nicolas Cage,Holly Hunter,Trey Wilson,John Goodman
379,Gabriel Byrne,Albert Finney,Jon Polito,Marcia Gay Harden
380,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen
381,Cary Grant,Grace Kelly,Jessie Royce Landis,John Williams
383,Doug Cooeyate,Tim Streeter,Sam Downey,Nyla McCarthy
387,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch
388,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer
389,Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall
390,Rüdiger Vogler,Patrick Bauchau,Teresa Salgueiro,Manoel de Oliveira
391,Clint Eastwood,Marianne Koch,Gian Maria Volonté,Wolfgang Lukschy
392,Juliette Binoche,Alfred Molina,Johnny Depp,Judi Dench
393,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen
395,Sanaa Lathan,Raoul Bova,Lance Henriksen,Ewen Bremner
396,Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis
397,Meg Ryan,Kevin Kline,Timothy Hutton,Jean Reno
398,Philip Seymour Hoffman,Catherine Keener,Clifton Collins Jr.,Bruce Greenwood
400,Andy García,Christopher Lloyd,William Forsythe,Bill Nunn
401,Zach Braff,Natalie Portman,Ian Holm,Peter Sarsgaard
402,Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn
403,Morgan Freeman,Jessica Tandy,Dan Aykroyd,Patti LuPone
404,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter
405,Anthony Quinn,Giulietta Masina,Richard Basehart,Aldo Silvani
406,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili
408,Adriana Caselotti,Lucille La Verne,Harry Stockwell,Roy Atwell
409,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas
411,Georgie Henley,Skandar Keynes,William Moseley,Anna Popplewell
414,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman
415,Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman
421,Bill Murray,Owen Wilson,Cate Blanchett,Anjelica Huston
422,Marcello Mastroianni,Claudia Cardinale,Anouk Aimée,Sandra Milo
423,Adrien Brody,Thomas Kretschmann,Frank Finlay,Maureen Lipman
424,Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall
425,Ray Romano,John Leguizamo,Denis Leary,Goran Visnjic
426,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore
427,Jacques Tati,Jean-Pierre Zola,Adrienne Servantie,Lucien Frégis
429,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè
430,James Cagney,Liselotte Pulver,Horst Buchholz,Pamela Tiffin
431,Nicole de Boer,Nicky Guadagni,Maurice Dean Wint,David Hewlett
433,Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns
435,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,Dash Mihok
436,Catalina Sandino Moreno,Guilied Lopez,Yenny Paola Vega,John Álex Toro
437,Kari Matchett,Geraint Wyn Davies,Grace Lynn Kung,Matthew Ferguson
438,Zachary Bennett,Stephanie Moore,Michael Riley,Martin Roach
439,Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux
440,Steven Pasquale,Reiko Aylesworth,John Ortiz,Johnny Lewis
441,Patricia Arquette,Tim Robbins,Rhys Ifans,Miranda Otto
445,Daniel Auteuil,Juliette Binoche,Annie Girardot,Bernard Le Coq
451,Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis
452,Bodil Jørgensen,Jens Albinus,Anne Louise Hassing,Troels Lyby
453,Russell Crowe,Jennifer Connelly,Ed Harris,Paul Bettany
454,Leonardo DiCaprio,Claire Danes,Jesse Bradford,Vondie Curtis-Hall
455,Parminder Nagra,Keira Knightley,Jonathan Rhys Meyers,Anupam Kher
457,Romy Schneider,Karlheinz Böhm,Magda Schneider,Uta Franz
458,Romy Schneider,Karlheinz Böhm,Magda Schneider,Vilma Degischer
459,Romy Schneider,Karlheinz Böhm,Magda Schneider,Gustav Knuth
462,Julia Roberts,Albert Finney,Aaron Eckhart,Marg Helgenberger
464,Michael Nyqvist,Frida Hallgren,Helen Sjöholm,Lennart Jähkel
466,Roy Scheider,Donald Sutherland,Jane Fonda,Charles Cioffi
467,Thora Birch,Desmond Harrington,Keira Knightley,Laurence Fox
468,River Phoenix,Keanu Reeves,James Russo,William Richert
469,John Lurie,Eszter Balint,Richard Edson,Cecillia Stark
470,Sean Penn,Naomi Watts,Benicio del Toro,Danny Huston
473,Sean Gullette,Mark Margolis,Ben Shenkman,Samia Shoaib
475,Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman
476,Matt Dillon,Kelly Lynch,James Remar,James Le Gros
479,Samuel L. Jackson,Vanessa Williams,Jeffrey Wright,Christian Bale
480,Naseeruddin Shah,Lillete Dubey,Vijay Raaz,Tillotama Shome
481,Juan José Ballesta,Jesús Carroza,Antonio Dechent,Loles León
482,Richard Roundtree,Moses Gunn,Charles Cioffi,Christopher St. John
483,Nicolas Cage,Laura Dern,Willem Dafoe,J.E. Freeman
488,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull
489,Matt Damon,Robin Williams,Ben Affleck,Stellan Skarsgård
490,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe
492,John Cusack,John Malkovich,Cameron Diaz,Catherine Keener
493,Richard Roundtree,Moses Gunn,Drew Bundini Brown,Joseph Mascolo
494,Richard Roundtree,Frank Finlay,Vonetta McGee,Neda Arnerić
496,Sacha Baron Cohen,Ken Davitian,Luenell,Pamela Anderson
497,Tom Hanks,David Morse,Bonnie Hunt,Michael Clarke Duncan
499,Corinne Marchand,Antoine Bourseiller,Dominique Davray,Dorothée Blanck
500,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn
501,Timothy Treadwell,Kathleen Parker,Warren Queeney,Willy Fulton
502,Henry Fonda,Walter Matthau,Fritz Weaver,Larry Hagman
503,Kurt Russell,Richard Dreyfuss,Josh Lucas,Jacinda Barrett
504,Charlize Theron,Christina Ricci,Bruce Dern,Lee Tergesen
505,Mickey Rourke,Ellen Barkin,Morgan Freeman,Forest Whitaker
506,Tippi Hedren,Sean Connery,Diane Baker,Martin Gabel
507,Eric Stoltz,Julie Delpy,Jean-Hugues Anglade,Tai Thai
508,Hugh Grant,Liam Neeson,Alan Rickman,Emma Thompson
509,Julia Roberts,Hugh Grant,Gina McKee,Tim McInnerny
510,Jack Nicholson,Louise Fletcher,Danny DeVito,William Redfield
512,Woody Allen,Hugh Jackman,Scarlett Johansson,Ian McShane
521,Ray Milland,Grace Kelly,Robert Cummings,John Williams
522,Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette
523,Sandra Hüller,Burghart Klaußner,Imogen Kogge,Friederike Adolph
524,Robert De Niro,Sharon Stone,Joe Pesci,James Woods
525,Dan Aykroyd,John Belushi,James Brown,Cab Calloway
526,Matthew Broderick,Rutger Hauer,Michelle Pfeiffer,Alfred Molina
527,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga
530,x,x,x,x
531,x,x,x,x
532,Peter Sallis,Anne Reid,Peter Hawkins,Justin Fletcher
533,Peter Sallis,Ralph Fiennes,Helena Bonham Carter,Peter Kay
534,Christian Bale,Sam Worthington,Moon Bloodgood,Helena Bonham Carter
535,Jennifer Beals,Michael Nouri,Sunny Johnson,Kyle T. Heffner
539,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin
540,Sara Foster,Meagan Good,Jordana Brewster,Devon Aoki
541,Frank Sinatra,Eleanor Parker,Kim Novak,Arnold Stang
542,Gael García Bernal,Ana Claudia Talancón,Sancho Gracia,Angélica Aragón
543,Anny Ondra,Sara Allgood,Charles Paton,John Longden
544,Cameron Diaz,Ben Stiller,Matt Dillon,Lee Evans
546,Felicity Huffman,Kevin Zegers,Elizabeth Peña,Danny Burstein
